streetAddress,addressLocality,addressRegion,postalCode,latitude,longitude,description,price,priceCurrency,property-beds,property-baths,property-sqft,Acreage,Air Conditioning,Year Built,Area,Basement,Bath,Full Bathrooms,Half Bathrooms,Bedroom,Bonus Room,Breakfast,Contract Conditions,Cooling,Den,Property Details,Dining Room,Driveway,Exterior,Exterior Features,Family Room,Features,Fees,Finished Basement,Fireplace,Fireplaces,Formal Dining,Foundation,Foyer,Gallery,Game Room,Garage,Garage Spaces,Garage Type,Great Room,Heating,Heating Source,Home Features,Interior Features,Kitchen,Last Updated,Laundry Room,Date Listed,Listing ID,Living Room,Lot Size,Master Bath,Master Bedroom,Master Bedroom First Floor,Media Room,MLS® #,Model Type,Mortgage Calculator,Neighbourhood Features,N/A,Occupancy,Office/Den,Other,Ownership Type,Parking Spaces,Partial Bathroom,Pet Policy,Pool,Property Tax,Property Type,Roof,Room Details,Rooms,School District,See more details,See less details,Sewer,Square Footage,Status,Stories,Style,Subdivision,Tax Year,Total Acres,Transaction Type,Type,Utility Room,Waterfront,Waterview,Yes,Heating Fuel,Heating/Cooling,Basement Description,Basement Details,Basement Development,Basement Type,Basement Walls,Fireplace Description,Fireplace Fuel,Fireplace Location,Fireplace Type,Fireplace Y/N,Parking,Parking Description,Parking Surface,Parking Types,Garage Capacity,Garage Description,Garage/Carport,Exterior Finish,Pool Features,Pool YN,Roofing,Roofing Description,Lease,Lease Requirements,Lease Term,Architecture,Year Built Description,Year Built Source,Approx Age,Location,Ownership,Pets Allowed,Levels,SqFT Range,Inclusions,Appliances,Exclusions,Electric,Electric Available,Ensuite,Family Room Level,Floor Location,Fuel,Fuel Type,Furnace,Furnished,Gas,Gas Available,Hot Water,Interior,Interior Layout,Interior Maintenance/Repairs Paid By,Laundry,Laundry Description,Laundry Location,LaundryFeatures,Natural Gas,Number Of Fireplaces,Plumbing,Power,Power Source,Smoke Detector(s),Master Description,Br Description,2nd Br Description,3rd Br Description,4th Br Description,5th Br Description,Pantry Description,Foyer Description,Dining Description,Living Description,Kitchen Description,Sitting Description,Den Description,Family Description,Bathroom Description,Office Description,Rec Description,Breakfast Description,Workshop description,Tandem Description,Sunroom Description,Study Description,Solarium Description,Powder Room Description,Play Description,Nursery Description,Mudroom Description,Media/Ent Description,Library Description,Great Room Description,Games Description,Furnace Description,Exercise Description,Dinning Description,Common Room Description,Cold/Cant Description,Locker,Locker Description,Heating Fuels,Flooring,HVAC,Waterfront Features,Waterfront YN,Access,Access Road,Building Style,Building Type,Buildings,Bush,Carport,Construction,Construction Materials,Construction Type,Covered Parking,Direction Facing,District,Exposure,Extra Structures,Fence,Fencing,Fronting On,Frontage,Gated,Loading Dock,Loading Info,Major Area,Out Buildings,Outdoor Area,Patio,Present Structures,Rear Exposure,Road,Road Between Waterfront And Home,Site Description,Site Influence,Site Influences,Site Information,Soil,Sprinklers,Storm Sewage Drain,Association Amenities,Balcony,Acreage Range,Exterior Build,Lot Description,Lot Shape,Lock Box,Security Features,Tenant Pays,Owner Pays,Rent Includes,Assessed Fees,Association Fee Frequency,Telephone Service,TV Service,Utilities,Utilities Included,Utility Description,Waste,Water,Water Heater,Water Heater Location,Water Heating Paid By,Water Paid By,Water Purifier,Water Service,Water Softener,Water Source,Water Treatment,Water Type,Common Interest,Business Type,Commercial Type,Complex,Condo Management,Condo Name,Current Use,Disclosures/Documents,Documents On File,Dues Frequency,Electric (amps),Electric (volts),Electric Paid By,Escape Clause,Farm,Farm Type,Fee Frequency,Fee Includes,Financing,For Sale or Lease,FP Fuel,Franchise,Grade Level Entry Y/N,HOA Includes,HOA Pay Schedule,HOA Terms,Income Property,Insurance Paid By,Lease Includes,Maintenance Paid By,Management,Mobile Home Type,Nearest Town,Occupied By,Percolation Test,Possession,Present Use,Price Type,Property Sub Type,Property Subtype,Property Type Detail,Quarter,Range,Recreation,Rental Type,Residence,Restrictions,Restrictions/Covenants,Sale Rent,Sale Terms,Sale Type,SaleOrRent,Showing Instructions,Soil Test,Sub Property Type,Sub Type,Survey Available,Taxes Paid By,Terms,Title,Parking Features,Fireplace Features,Board,Foundation/Basement,Rental Equipment,Sign,Condo Management Firm,Condo Fees Include,Condo Fees Assessed Y/N,Bare Land YN,Condo Fees,Distance To High School,Drinking Water Y/N,Distance To Town,Distance To Elementary School,Community Name,Amenities,Structure,Surface Water,Utilities Available,Ensuite 4-Piece Level,Storage Room Level,Age Description,Bath 2-Piece Level,Bath 3-Piece Level,Foyer Level,Bath 4-Piece Level,Bedroom Level,Walk In Closet Level,Sewer Type,Last Change Type,Kitchen Level,Dwelling Type,Primary Bedrm Level,Assoc,Living Room Level,Recreation Room Level,Dining Room Level,Laundry Room Level,Rental Features,Assoc/Maint Fee Per,Living Area,Zoning,Architectural Style,Lot Features,Maintenance,Water/Sewer,Double,Land Features,MLS,Sub Area,Building Features,Lease Type,Municipality,Community Features,Elevator,MLS Area Minor,View,Foundation Details,SqFt Range,Building Area Source,Buyer Agent Designation,Lot Measurement,Lot Size Source,Topography,Current Financing
"5316 42 STREET, Fort Nelson, BC V0C1R0",Fort Nelson,BC,V0C1R0,58.8092749,-122.6793117,"Welcome home! This spacious, well-maintained, and stylish 1-level home with metal roof and new hot water tank offers a fantastic layout,  perfect for entertaining or just spending time with your loved ones. You'll love the sunny kitchen and family-sized dining space that are open to the comfortable living room. The roomy bathroom is a haven for relaxation, featuring a deep claw-footed tub ideal for soaking your cares away, and a separate shower.  Off the back door there is a huge and fabulous sundeck. There's also a double garage complete with 120/240V power and a commercial fan, plus overhead storage for all of your toys. The yard has ample parking, lawn, space for gardening, plus an adorable shed you can use for hobbies or hanging out. This might be the one for you. (id:38686)",119999,CAD,2,1,"1,224",0.21,,,,None,,,,,,,,,,,,,Vinyl siding,Vinyl siding,,Garage,,,,,,,,,,,,,,"Forced air, Natural gas",,,,,,,,,,,,,,,R2953781,,,,,,,,,,,,,"$1,105",Single Family,"Asphalt shingle, Conventional",,,,,,,"1,224 SQFT",,,,,,,,Single Family,,,,,,,,,,,,,,,,,Garage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Garage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2953781,,,,,,,,,,,,,,,,
"5524 53 STREET, Fort Nelson, BC V0C1R0",Fort Nelson,BC,V0C1R0,58.8116374,-122.7034288,"One of the sweetest streets in town! This charming 3-bedroom home with funky, fresh design is nestled on a quiet street and features a pull-through driveway and single attached garage. The split-level entry home boasts upgrades like newer windows and shingles. Enjoy the super cute kitchen with stainless steel appliances and the spacious family room with a cozy wood stove. A sliding patio door leads to a sundeck overlooking a large yard with a fully fenced garden space and stunning sunset views. Down the hall, a fully updated bathroom is a show-stopper! The basement, with beautiful flooring, is mostly completed and includes a half bath (with room for a shower) plus room for additional bedrooms if needed. This delightful home, close to schools, parks, and amenities, is sure to steal your heart. (id:38686)",189900,CAD,3,2,"2,182",0.31,,,,"[""Partially finished"", ""Full""]",,,,,,,,,,,,,[],[],,"[""Garage""]",,,Yes,,,,,,,,,,,"[""Forced air"", ""Natural gas"", ""Wood""]",,,,,,,,,,,,,,,R2952003,,,,,,,,,,,,,N/A,Single Family,"[""Asphalt shingle"", ""Conventional""]",,,,,,[],"2,182 SQFT",,,,,,,,Single Family,,,,,,,,,,,,,,,,,"[""Garage""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Garage""]",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2952003,,,,,,,,,,,,,,,,
"16 HEARNE HILL ROAD, Yellowknife, NT",Yellowknife,NT,,62.4692983,-114.3468383,"Located in the very sought-after neighborhood of Latham Island, only steps away from a popular playground and lake access to go paddling after work on Back Bay. This flat lot offers endless opportunities! (id:38686)",224900,CAD,0,0,1,,,,,[],,,,,,,,,,,,,[],[],,[],,,[],,,,,,,,,,,[],,,,,,,,,,,,,,,5240,,,,,,,,,,,,,N/A,Single Family,[],,,,,,[],1 SQFT,,,,,,,,Single Family,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5240,,,,,,,,,,,,,,,,
"607 RANGE LAKE ROAD, Yellowknife, NT",Yellowknife,NT,,62.4405853,-114.4159347,"Affordable, Fully Renovated 3-Bedroom Townhouse. This townhouse offers exceptional value in a prime, central location. With 3 spacious bedrooms and 1.5 bathrooms, this home is perfect for families or anyone seeking convenience and comfort. Situated within walking distance to schools, shopping, recreational facilities, public transit, and healthcare services, everything you need is just a short stroll away. The large front deck that is ideal for relaxing or entertaining & the rear deck (added in 2020) that is a cozy spot for outdoor enjoyment. Welcoming entryway features bench seating and a closet for added convenience. Freshly painted, with new laminate flooring, updated kitchen and bathroom cupboard doors, and newer appliances. This condo is move-in ready, offering modern comfort at an affordable price. The monthly condo fee of $372.25 covers building insurance, professional management, garbage pickup, and snow removal. (id:38686)",349900,CAD,3,2,"1,208",,,,,,,,,,,,,,,,,,[],[],,[],,,[],,,,,,,,,,,[],,,,,,,,,,,,,,,5927,,,,,,,,,,,,,N/A,Condo/Townhome,,,,,,,[],"1,208 SQFT",,,,,,,,Condo/Townhome,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5927,,,,,,,,,,,,,,,,
"NW, SW 35 101 23 W5, Rural Northern Lights, County of, AB T0H 0B3","Rural Northern Lights, County of",AB,T0H 0B3,57.8138132,-117.66041666,"ATTENTION FARMERS! Here is a great opportunity to add two parcels totalling 320 acres of organic farmland. With  approximately 180 acres already cleared and ready to be used. Located in Keg River and priced right with immediate possession available, get in touch today to know more.",735000,CAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2184910,,,,,,,,,,,,,N/A,Agricultural,,,,,,,,,,,,Keg River,,,,Agricultural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2184910,,,,,,,,,,,,,,,,
"SW 35 101 23 W5, Rural Northern Lights, County of, AB T0H 0B3","Rural Northern Lights, County of",AB,T0H 0B3,57.80624239,-117.66069628,"ATTENTION FARMERS! Here is a great opportunity to add two parcels totalling 320 acres of organic farmland. With  approximately 180 acres already cleared and ready to be used. Located in Keg River and priced right with immediate possession available, get in touch today to know more.",382500,CAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2184871,,,,,,,,,,,,,N/A,Agricultural,,,,,,,,,,,,Keg River,,,,Agricultural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2184871,,,,,,,,,,,,,,,,
"70 ALSEK ROAD, Whitehorse, YT Y1A3K4",Whitehorse,YT,Y1A3K4,60.710916,-135.022836,"GREENBELT! COMPLETELY UPDATED! UNDER $700K! Look no further than 70 Alsek Road in sought after, Riverdale! Spanning just under 2500 SF. your new home boasts 5 Beds and 2 Baths over 2 levels plus a great basement. The curb appeal is next to none and no expense has been sparred. From the 2-Tone plank siding to the new roof, new windows, trim, added insulation, newer appliances and oil tank this is home is aesthetically and functionally ""Turn-Key""! As you walk-in, you'll find the generous living space, connecting to the dining room and kitchen with updated cabinetry as well a 3-Piece Bath. The top level is very well executed with an over sized 4-Piece bath, 3 bedrooms including the big primary with double closets and the added bonus... a 387 SF. Bonus room with private deck... Home Office? In-Law Suite? More Bedrooms? The choice is yours! New Year, New Home! This is the one to see so call today or check out our iGuide 3D Tour. (id:38686)",689000,CAD,5,2,"2,471",0.15,,,,[],,,,,,,,,,,,,[],[],,[],,,[],,,,,,,,,,,[],,,,,,,,,,,,,,,16094,,,,,,,,,,,,,"$2,187",Single Family,[],,,,,,[],"2,471 SQFT",,,,,,,,Single Family,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16094,,,,,,,,,,,,,,,,
"37 Banff Avenue, Rainbow Lake, AB T0H 2Y0",Rainbow Lake,AB,T0H 2Y0,58.497639,-119.398595,"Property for sale in Rainbow Lake, AB.- Mobile with additions complete with the lot. This 3 bedroom Triple E Mobile has 3 bedrooms and 2 bathrooms, an open floor plan Plus an addition with another bedroom and a large family room complete with a wood stove. There is also an attached porch - not heated at the other end, provided for plenty of square feet. There is a nice wooden deck to enjoy on those nice summer days. Outside, there is a triple concrete parking pad. The yard is landscaped, with some planted trees and a firepit area. Call today to view.",76050,CAD,3,1,"1,216",0.76,,,,None,,,,,,,,,,,,,Other,Other,,Parking Pad,,,Wood Burning Stove,,,,,,,,,,,"Forced Air, Natural Gas",,,,,,,,,,,,,,,A2184431,,,,,,,,,,,,,N/A,Single Family,Asphalt Shingle,,,,,,,"1,216 SQFT",,,,NONE,,,,Single Family,,,,,,,,,,,,,,,,,Parking Pad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carpet, Laminate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parking Pad,Wood Burning Stove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2184431,,,,,,,,,,,,,,,,
"5231 44 STREET, Fort Nelson, BC V0C1R0",Fort Nelson,BC,V0C1R0,58.8073046,-122.6852534,"This versatile duplex offers the perfect blend of move-in ready and customization potential! One side has been fully reno'd with modern finishes throughout, while the other has some potential for sweat equity. Both units feature 2 bedrooms, 1 bath, and come fully equipped with all major appliances. The private backyard features a firepit for cozy evenings and a storage shed for convenience. Enjoy having no rear neighbors as this property backs onto a schoolyard. Exterior updates include vinyl siding, windows, and decks—providing great curb appeal and low maintenance. The front yard is fenced and there is ample parking. Whether you're looking for a home to live in while making an income, or you want to pick up a rental property while prices are great, this one is definitely worth a look! (id:38686)",169900,CAD,4,2,"1,650",0.23,,,,"[""None""]",,,,,,,,,,,,,"[""Vinyl siding""]","[""Vinyl siding""]",,"[""Open"", ""RV""]",,,[],,,,,,,,,,,"[""Forced air"", ""Natural gas""]",,,,,,,,,,,,,,,R2951249,,,,,,,,,,,,,N/A,MultiFamily,"[""Asphalt shingle"", ""Conventional""]",,,,,,[],"1,650 SQFT",,,,,,,,MultiFamily,,,,,,,,,,,,,,,,,"[""Open"", ""RV""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Open"", ""RV""]",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2951249,,,,,,,,,,,,,,,,
"103447 RGE RD 180, Rural Mackenzie County, AB T0H2H0",Rural Mackenzie County,AB,T0H2H0,57.97151231,-116.81577707,"
This quarter section of land offers an excellent opportunity for those looking to embrace the farming lifestyle. The property features a fully serviced yard site with a comfortable and well-maintained residence boasting 3 bedrooms, 2 bathrooms, and many recent updates for modern living. The yard is beautifully established with planted trees, a dugout for water, and a well established yard site Possibility to subdivide acreage if you so desire. Located in a productive farming area, the land is ideally situated just a mile up the road from Blue Hills Community School, making it a convenient and desirable location. Don’t miss this chance to turn your farming dreams into reality!",985000,CAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2184169,,,,,,,,,,,,,N/A,Agricultural,,,,,,,,,,,,NONE,,,,Agricultural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2184169,,,,,,,,,,,,,,,,
"4801 47 Street, Fort Vermilion, AB T0H 1N0",Fort Vermilion,AB,T0H 1N0,58.3910521,-116.0111621,"DREAMING OF LIVING ONLY STEPS AWAY FROM THE RIVER ?? Are you seeking a rental revenue property or perhaps a place where the entire family can live ?? This 6 bedroom 2 bath home with its well planned layout is perfect for potential rental property or a wonderful space for a growing family !The bright and cheerful Living space greets you with a huge window ensuring plenty of natural light which flows into the Sitting  area, the Kitchen offering wood cabinetry with the side door leading onto a huge deck, to enjoy the great Northern Alberta summers . A hallway leads to a 4 pc Bath, and 3 bedrooms . The lower finished level is just full of potential with a bath, laundry , a HUGE bedroom  which easily could be a play room or perhaps for your creative side for arts, crafts and hobbies . There are two additional bedrooms for the teenagers or the overnight guests .Park in the front parking space which has enough parking for at least 3 or 4 vehicles  . You are sure to enjoy the yard with lots of space to burn off energy and  its also easy to live a car-free lifestyle if desired: you're merely steps away from shopping and schools .Complete the day with a peaceful evening stroll along the river bank walking trails only a short walk away, while savoring the vivid pastel colors of the setting sun. Fully loaded with opportunity ..",195000,CAD,6,2,"1,005",0.18,,,,"[""Finished"", ""Full""]",,,,,,,,,,,,,"[""Private Entrance"", ""Private Yard""]","[""Private Entrance"", ""Private Yard""]",,"[""Off Street"", ""Parking Pad""]",,,,,,,,,,,,,,"[""Forced Air""]",,,,,,,,,,,,,,,A2181631,,,,,,,,,,,,,N/A,Single Family,"[""Asphalt Shingle""]",,,,,,,"1,005 SQFT",,,,NONE,,,,Single Family,,,,,,,,,,,,,,,,,"[""Off Street"", ""Parking Pad""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Laminate"", ""Tile"", ""Vinyl""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Off Street"", ""Parking Pad""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2181631,,,,,,,,,,,,,,,,
"53 FIR CRESCENT, Hay River, NT",Hay River,NT,,60.8219771,-115.7851161,"3-bed, 2-bath home with addition. Large kitchen with stainless steel appliances extend into the open-concept living space. Call Becca at 867-445-5314 for more information. (id:38686)",109900,CAD,3,2,"1,427",,,,,[],,,,,,,,,,,,,[],[],,[],,,[],,,,,,,,,,,[],,,,,,,,,,,,,,,6040,,,,,,,,,,,,,N/A,Single Family,[],,,,,,[],"1,427 SQFT",,,,,,,,Single Family,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6040,,,,,,,,,,,,,,,,
"2-96 LEWES BOULEVARD, Whitehorse, YT Y1A4S6",Whitehorse,YT,Y1A4S6,60.7049103,-135.0274154,"Priced Reduced! Welcome to unit 2 in the Sternwheeler Village! This 4 bedroom, 2 full bathroom home offers 3 levels, plenty of storage as well as space for the whole family. The beautiful kitchen and spacious living room is great for family gatherings. Situated in the desired area of Riverdale, you'll enjoy a peaceful residential neighborhood with easy access to key amenities. The home is just a short drive from downtown Whitehorse, close proximity to schools, a nearby gym and the Whitehorse General Hospital, ensuring convenience and peace of mind. Outdoor enthusiasts will love the abundance of nearby trails, perfect for walking, biking or simply enjoying nature. Heating is electric and this unit comes with 2 parking stalls plus visitor parking. New roof installed, 2023. Schedule your private viewing today and come see for yourself how to make this your new home! (id:38686)",429900,CAD,4,2,"1,440",,,,,,,,,,,,,,,,,,[],[],,[],,,[],,,,,,,,,,,[],,,,,,,,,,,,,,,16080,,,,,,,,,,,,,"$1,278",Condo,,,,,,,[],"1,440 SQFT",,,,,,,,Condo,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16080,,,,,,,,,,,,,,,,
"5017 44 STREET, Fort Nelson, BC V0C1R0",Fort Nelson,BC,V0C1R0,58.804691442925,-122.685840584656,"Sunlight and one SUITE space! The entry floor can be used as an independent 2-bedroom suite, complete with ready-to-finish kitchen and private bathroom, or can serve as additional living space if you have a larger family to accommodate. Upstairs you'll find spectacular sunlight with a massive arrangement of large windows. The living room features a gorgeous stone fireplace, engineered hardwood flooring and patio doors out to the deck that spans the entire width of the front of the house. There is also a generous eat-in kitchen leading to a solarium, plus a separate dining room with vaulted ceiling. Three large bedrooms, including master with an ensuite bathroom. This 5-bedroom, 3-bathroom home offers incredible value for your dollar, leaving room in the budget to update! (id:38686)",107500,CAD,5,3,"2,537",0.17,,,,"[""None""]",,,,,,,,,,,,,"[""Aluminum siding""]","[""Aluminum siding""]",,"[""Garage"", ""Open""]",,,Yes,,,,,,,,,,,"[""Forced air"", ""Natural gas""]",,,,,,,,,,,,,,,R2949140,,,,,,,,,,,,,"$2,129",Single Family,[],,,,,,[],"2,537 SQFT",,,,,,,,Single Family,,,,,,,,,,,,,,,,,"[""Garage"", ""Open""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Garage"", ""Open""]",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2949140,,,,,,,,,,,,,,,,
